# In Stock,# En stock
# Req'd Items,#  rticles Requis
%  Delivered,% Livré
%  mount Billed,% Montant Facturé
% Billed,% Facturé
% Complete,%  chevée
% Complete Method,% Méthode Complète
% Completed,% Complété
% Delivered,% Livré
% Finished Item Quantity,% de l' rticle fabriqué
% Installed,% Installé
% Occupied,% d'occupation
% Of Grand Total,% Du grand total
% Ordered,% Commandé
% Picked,% choisi
% Process Loss,% de perte de processus
% Progress,% de Progression
% Received,% Reçu
% Returned,% retourné
% Utilization (B + NB) / T,% Utilisation (B + NB) / T
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de Livraison
% of materials delivered against this Pick List,% d'articles livrés par rapport à cette liste de sélection
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client
&lt;p&gt; Nous ne voulons pas que vous perdiez du temps à courir partout pour payer votre facture.<br> près tout,la vie est belle et le temps que vous avez en main devrait être consacré à en profiter !<br>Voici donc nos petites astuces pour vous aider à avoir plus de temps pour la vie ! &lt;/p&gt;
&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br> fter all,life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;
&lt;p&gt;Cher {{ doc.contact_person }},&lt;/p&gt;
&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;
&lt;p&gt;Demande de paiement pour {{ doc.doctype }},{{ doc.name }} d'un montant de {{ doc.grand_total }}.&lt;/p&gt;
&lt;p&gt;Requesting payment for {{ doc.doctype }},{{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;
' ccount' in the  ccounting section of Customer {0},'Compte' dans la section comptabilité du client {0}
' llow Multiple Sales Orders  gainst a Customer's Purchase Order',utoriser les commandes multiples contre un bon de commande du client'
'Based On' and 'Group By' can not be same,'Basé sur' et 'Groupé par' ne peuvent pas être identiques
'Date' is required,La 'date' est obligatoire
'Days Since Last Order' must be greater than or equal to zero,'Jours Depuis La Dernière Commande' doit être supérieur ou égal à zéro
'Default {0}  ccount' in Company {1},'Compte {0} par défaut' dans la société {1}
'Entries' cannot be empty,'Entrées' ne peuvent pas être vides
'Expected Start Date' can not be greater than 'Expected End Date','Date de Début Prévue' ne peut pas être postérieure à 'Date de Fin Prévue'
'From Date' is required,'Date début' est requise
'From Date' must be after 'To Date',La ‘Date de Début’ doit être antérieure à la ‘Date de Fin’
'Has Serial No' can not be 'Yes' for non-stock item,'  un Numéro de Série' ne peut pas être 'Oui' pour un article hors-stock
"'Inspection Required before Delivery' has disabled for the item {0}"",""no need to create the QI","L'option 'Inspection requise avant la livraison' est désactivée pour l'article {0}, il n'est pas nécessaire de créer l'inspection qualité"
"'Inspection Required before Purchase' has disabled for the item {0}"",""no need to create the QI","L'option 'Inspection requise avant l'achat' est désactivée pour l'article {0}, il n'est pas nécessaire de créer l'inspection qualité."
'Opening','Ouverture'
'To Case No.' cannot be less than 'From Case No.',' u Cas N°’ ne peut pas être inférieur à ‘Du Cas N°’
'To Date' is required,'Date de Fin' est requise
'To Package No.' cannot be less than 'From Package No.',' u numéro du paquet' ne peut pas être inférieur à 'À partir du paquet N°'.
'Total','Total'
'Update Stock' can not be checked because items are not delivered via {0},'Mettre à Jour le Stock' ne peut pas être coché car les articles ne sont pas livrés par {0}
'Update Stock' cannot be checked for fixed asset sale,'Mettre à Jour Le Stock’ ne peut pas être coché pour la vente d'actifs immobilisés
'employee_field_value' and 'timestamp' are required.,'employee_field_value' et 'timestamp' sont obligatoires.
'{0}' account is already used by {1}. Use another account.,Le compte « {0} » est déjà utilisé par {1}. Utilisez un autre compte.
'{0}' should be in company currency {1}.,« {0} » devrait être dans la devise de l'entreprise {1}.
( ) Qty  fter Transaction,( ) Quantité après la transaction
(B) Expected Qty  fter Transaction,(B) Quantité attendue après la transaction
(C) Total Qty in Queue,(C) Qté totale dans la file d'attente
(C) Total qty in queue,(C) Quantité totale en file d'attente
(Ca+Mg)/K,(Ca + Mg) / K
(D) Balance Stock Value,(D) Valeur du solde du stock
(E) Balance Stock Value in Queue,(E) Solde de la valeur de stock dans la file d'attente
(F) Change in Stock Value,(F) Changement de la valeur du stock
(Forecast),(Prévoir)
(G) Sum of Change in Stock Value,(G) Somme de la variation de la valeur du stock
(H) Change in Stock Value (FIFO Queue),(H) Changement de la valeur du stock (file d’attente IFO)
(H) Valuation Rate,(H) Taux d'évaluation
(Half Day),(Demi-journée)
(Hour Rate / 60) *  ctual Operation Time,(Tarif Horaire / 60) * Temps Réel d’Opération
(I) Valuation Rate,(I) Taux d'évaluation
(J) Valuation Rate as per FIFO,(J) Taux d'évaluation selon la FIFO
(K) Valuation = Value (D) ÷ Qty ( ),(K) Évaluation = Valeur (D) ÷ Qty ( )
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,(Numéro de série: {0}) ne peut pas être utilisé car il est réservé pour remplir la commande client {1}.
(including),(compris)
) for {0},) pour {0}
* Will be calculated in the transaction.,* Sera calculé lors de la transaction.
**Fiscal Year** represents a Financial Year.  ll accounting entries and other major transactions are tracked against **Fiscal Year**.,**Exercice** représente un Exercice Financier. Toutes les écritures comptables et autres transactions majeures sont suivis en **Exercice**.
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,**Répartition Mensuelle** vous aide à diviser le Budget / la Cible sur plusieurs mois si vous avez de la saisonnalité dans votre entreprise.
+,+
-,-
- C,-C
... dding  rticle to Topics,...  jout d'un article aux sujets
... dding Course to Programs,...  jout de cours aux programmes
... dding Quiz to Topics,...  jout de quiz aux sujets
... dding Topic to Courses,...  jout d'un sujet aux cours
/ Batch Bundle.,"Si activé, ne pas mettre à jour les valeurs série/lot dans les transactions de stock lors de la création automatique de lot série/batch."
0-30 Days,0-30 jours
01-Sales Return,01-Retour des ventes
02-Post Sale Discount,02-Remise après vente
03-Deficiency in services,03-Insuffisance des services
04-Correction in Invoice,04-Correction dans la facture
05-Change in POS,05-Changement de POS
06-Finalization of Provisional assessment,06-Finalisation de l'évaluation provisoire
07-Others,07- utres
1 Loyalty Points = How much base currency?,1 point de fidélité = Quel montant en devise de base ?
1 exact match.,1 correspondance exacte.
1 hr,1 heure
194,194
194C,194C
194D,194D
194H,194H
194I,194I
194J,194J
194L,194L
194LBB,194LBB
194LBC,194LBC
2 Yearly,2 ans
3 Yearly,3  nnuel
30 mins,30 min
30-60 Days,30-60 jours
4,4
6 hrs,6 heures
60-90 Days,60-90 jours
90  bove,90 et plus
90- bove,90-Dessus
<!-- {% endraw %} -->,<br>
</b></span>,"<span class=""""h4""""><b>Vos Raccourcis"
</div>,<div>
</ol>,<h3> ide</h3>
<b>Base</b> amount has not been set for the following employee(s): {0},Le montant de <b>base</b> n'a pas été fixé pour le(s) salarié(s) suivant(s) : {0}
<b>Company</b> is a mandatory filter.,<b>La société</b> est un filtre obligatoire.
<b>Example:</b> S L-{first_name}-{date_of_birth.year} <br>This will generate a password like S L-Jane-1972,<b>Exemple:</b> S L- {prenom} - {date_naissance.année} <br> Cela générera un mot de passe comme S L-Jane-1972
<b>From Date</b> is a mandatory filter.,<b>De la date</b> est un filtre obligatoire.
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>From Time</b> ne peut pas être postérieur à <b>To Time</b> pour {0}
<b>Single</b>: Results which require only a single input.\n<br>\n<b>Compound</b>: Results which require multiple event inputs.\n<br>\n<b>Descriptive</b>: Tests which have multiple result components with manual result entry.\n<br>\n<b>Grouped</b>: Test templates which are a group of other test templates.\n<br>\n<b>No Result</b>: Tests with no results,"can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results"",<b>Unique</b> : résultats qui ne nécessitent qu'une seule entrée.<br> <b>Composé</b> : résultats qui nécessitent plusieurs entrées d'événement.<br> <b>Descriptif</b> : tests qui ont plusieurs composants de résultat avec saisie manuelle des résultats.<br> <b>Groupé</b> : modèles de test qui sont un groupe d'autres modèles de test.<br> <b> ucun résultat</b> : les tests sans résultats peuvent être commandés et facturés mais aucun test de laboratoire ne sera créé. par exemple. Sous-tests pour les résultats groupés"
<b>To Date</b> is a mandatory filter.,<b>À ce jour</b> est un filtre obligatoire.
<b>Total Leaves  llocated</b> are more than the number of days in the allocation period,<b>Les feuilles totales allouées</b> sont plus que le nombre de jours dans la période d'allocation
<code>Condition : date_of_birth&gt;date(1937,"12, 31) et date_of_birth&lt;date(1958, 01, 01)</code></li><br><li> pplying tax by employee gender<br>"
<code>Condition: base &gt; 10000</code></li></ol>,<h4>Exempleformat@@1
<code>Condition: date_of_birth&gt;date(1937,"12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li> pplying tax by employee gender<br>"
"<div class=""""columnHeading"""">Other Details</div>","<div class=""""columnHeading""""> utres détails</div>"
"<div class=""""text-muted text-center"""">No Matching Bank Transactions Found</div>","<div class=""""text-muted text-center""""> ucune transaction bancaire correspondante trouvée</div>"
"<div>Nous avons remarqué que vous n'avez pas encore payé la facture {{sales_invoice}} d'un montant de {{frappe.db.get_value(""""Currency","currency, """"symbol"""")}} {{outstanding_amount}}. Ceci est un rappel amical que la facture était due le {{due_date}}. Veuillez payer le montant dû immédiatement pour éviter tout coût de relance supplémentaire.</div>"
"<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""""Currency","currency, """"symbol"""")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>"
"<h5 class=""""text-muted uppercase"""">Or</h5>","<h5 class=""""text-muted uppercase"""">Ou</h5>"
"<label class=""""control-label"""" style=""""margin-bottom: 0px;""""> ccount Number Settings</label>","<label class=""""control-label"""" style=""""margin-bottom: 0px;"""">Paramètres du numéro de compte</label>"
"<label class=""""control-label"""" style=""""margin-bottom: 0px;""""> mount In Words</label>","<label class=""""control-label"""" style=""""margin-bottom: 0px;"""">Montant en toutes lettres</label>"
"<label class=""""control-label"""" style=""""margin-bottom: 0px;"""">Date Settings</label>","<label class=""""control-label"""" style=""""margin-bottom: 0px;"""">Paramètres de date</label>"
<li>Item {0} in row(s) {1} billed more than {2}</li>,<li>L'élément {0} de la (des) ligne(s) {1} a été facturé plus que {2}</li>
"<p> part from these"",""you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>Dans votre <b>modèle d'e-mail</b>, vous pouvez utiliser les variables spéciales suivantes :"
<p>Cannot overbill for the following Items:</p>,</p> <p>Il n'y a pas de surfacturation possible pour les éléments suivants :</p> <p>Il n'y a pas de surfacturation possible pour les éléments suivants
<p>En dehors de celles-ci,"vous pouvez accéder à toutes les valeurs de cette demande de devis, comme <code>{{ message_for_supplier }}</code> ou <code>{{ terms }}</code>.</p>"
"<p>Example: If your endpoint is exchange.com/2021-08-01"",""then, you will have to input exchange.com/{transaction_date}</p>",<h3> ide sur les paramètres de change</h3>
<p>Exemple : Si votre point de terminaison est exchange.com/2021-08-01,vous devrez saisir exchange.com/{transaction_date}. </p>
<p>Following {0}s doesn't belong to Company {1} :</p>,<p>Les {0} suivants n'appartiennent pas à l'entreprise {1} :</p> <p>Les {0} suivants n'appartiennent pas à l'entreprise {1}.
"<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both"",""then the Laptop + Backpack will be a new Product Bundle Item.</p>",<h3>À propos du lot de produits</h3>
<p>In your <b>Email Template</b>,you can use the following special variables:
<p>Les modèles sont compilés en utilisant le langage de modèles Jinja. Pour en savoir plus sur Jinja,"<a class=""""strong"""" href=""""http://jinja.pocoo.org/docs/dev/templates/"""">lisez cette documentation.</a></p>"
<p>Pour accéder au champ du document,"utilisez doc.fieldname </p> <p>Pour accéder au champ du document, utilisez doc.fieldname </p> <p>Pour accéder au champ du document, utilisez doc.fieldname </p> <p"
<p>Pour accéder au champ du document parent,"utilisez parent.fieldname et pour accéder au champ du document de la table enfant, utilisez doc.fieldname </p>"
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario"",""setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p> re you sure you want to continue?","<p>Le taux de la liste de prix n'a pas été défini comme modifiable dans les paramètres de vente. Dans ce scénario, le fait de définir <strong>Update Price List Based On</strong> sur <strong>Price List Rate</strong> empêchera la mise à jour automatique du prix de l'article.</p> Êtes-vous sûr de vouloir continuer ?"
<p>Si vous vendez des ordinateurs portables et des sacs à dos séparément et bénéficiez d'un prix spécial si le client achète les deux,l'ordinateur portable + le sac à dos constitueront un nouvel élément du pack de produits.</p>
"<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja"",""<a class=""""strong"""" href=""""http://jinja.pocoo.org/docs/dev/templates/"""">read this documentation.</a></p>",<h4>Exemple de conditions générales standard</h4>
